,WK_DT,PIPE_NO,DV_R,DA_R,AV_R,AA_R,PM_R,FIN_JGMT
289,20220117080034100,PP22041200707,320,8295,357,6104,9330,1
290,20220117080034400,PP22041200707,320,8288,364,5971,9327,1
291,20220117080034400,PP22041200707,320,8288,364,5971,9328,1
292,20220117080034500,PP22041200707,320,8300,360,6059,9329,1
293,20220117080034500,PP22041200707,320,8300,360,6059,9319,1
294,20220117080034800,PP22041200707,320,8274,359,6000,9310,1
295,20220117080034800,PP22041200707,320,8274,359,6000,9308,1
296,20220117080035000,PP22041200707,320,8306,363,5948,9305,1
297,20220117080035000,PP22041200707,320,8306,363,5948,9300,1
298,20220117080035100,PP22041200707,320,8301,362,5955,9295,1
299,20220117080035100,PP22041200707,320,8301,362,5955,9296,1
300,20220117080035600,PP22041200707,319,8325,360,6036,9290,1
301,20220117080035600,PP22041200707,319,8325,360,6036,9285,1
302,20220117080035700,PP22041200707,320,8322,360,6097,9286,1
303,20220117080035700,PP22041200707,320,8322,360,6097,9279,1
304,20220117080036000,PP22041200707,309,7934,362,5991,9276,1
305,20220117080036000,PP22041200707,309,7934,362,5991,9275,1
306,20220117080036300,PP22041200707,319,8351,358,6039,9270,1
307,20220117080036300,PP22041200707,319,8351,358,6039,9270,1
308,20220117080036600,PP22041200707,320,8276,362,5994,9271,1
309,20220117080036600,PP22041200707,320,8276,362,5994,9276,1
310,20220117080036800,PP22041200707,308,7934,365,5948,9280,1
311,20220117080036800,PP22041200707,308,7934,365,5948,9299,1
312,20220117080037200,PP22041200707,308,7934,365,5961,9300,1
313,20220117080037200,PP22041200707,308,7934,365,5961,9321,1
314,20220117080037400,PP22041200707,321,8253,361,6001,9327,1
315,20220117080037400,PP22041200707,321,8253,361,6001,9270,1
316,20220117080037800,PP22041200707,320,8305,360,6022,9270,1
317,20220117080037800,PP22041200707,320,8305,360,6022,9270,1
318,20220117080038000,PP22041200707,320,8299,360,5991,9270,1
319,20220117080038000,PP22041200707,320,8299,360,5991,9270,1
320,20220117080038200,PP22041200707,320,8326,363,5948,9270,1
321,20220117080038200,PP22041200707,320,8326,363,5948,9275,1
322,20220117080038400,PP22041200707,308,7934,362,5948,9285,1
323,20220117080038400,PP22041200707,308,7934,362,5948,9288,1
324,20220117080038600,PP22041200707,320,8311,362,6064,9289,1
325,20220117080038600,PP22041200707,320,8311,362,6064,9288,1
326,20220117080039000,PP22041200707,320,8314,357,6050,9290,1
327,20220117080039000,PP22041200707,320,8314,357,6050,9300,1
328,20220117080039100,PP22041200707,320,8298,360,6003,9301,1
329,20220117080039100,PP22041200707,320,8298,360,6003,9300,1
330,20220117080039400,PP22041200707,321,8259,361,6029,9303,1
331,20220117080039400,PP22041200707,321,8259,361,6029,9317,1
332,20220117080039700,PP22041200707,309,7934,360,6094,9319,1
333,20220117080039700,PP22041200707,309,7934,360,6094,9320,1
334,20220117080039800,PP22041200707,308,8378,358,6136,9324,1
335,20220117080039800,PP22041200707,308,8378,358,6136,9333,1
336,20220117080040000,PP22041200707,321,8286,361,6042,9335,1
337,20220117080040000,PP22041200707,321,8286,361,6042,9330,1
338,20220117080040300,PP22041200707,319,8350,362,5948,9327,1
339,20220117080040300,PP22041200707,319,8350,362,5948,9328,1
340,20220117080040500,PP22041200707,320,8317,362,5957,9329,1
341,20220117080040500,PP22041200707,320,8317,362,5957,9319,1
342,20220117080040800,PP22041200707,319,8340,361,5991,9310,1
343,20220117080040800,PP22041200707,319,8340,361,5991,9308,1
344,20220117080040900,PP22041200707,321,8288,361,5948,9305,1
345,20220117080040900,PP22041200707,321,8288,361,5948,9300,1
346,20220117080041100,PP22041200707,320,8294,361,6004,9295,1
347,20220117080041100,PP22041200707,320,8294,361,6004,9296,1
348,20220117080041300,PP22041200707,320,8307,357,6140,9290,1
349,20220117080041300,PP22041200707,320,8307,357,6140,9285,1
350,20220117080041700,PP22041200707,321,8289,361,6020,9286,1
351,20220117080041700,PP22041200707,321,8289,361,6020,9279,1
352,20220117080042000,PP22041200707,308,7934,361,5948,9276,1
353,20220117080042000,PP22041200707,308,7934,361,5948,9275,1
354,20220117080042400,PP22041200707,308,7934,360,5981,9270,1
355,20220117080042400,PP22041200707,308,7934,360,5981,9270,1
356,20220117080042600,PP22041200707,320,8320,362,5952,9271,1
357,20220117080042600,PP22041200707,320,8320,362,5952,9276,1
358,20220117080042900,PP22041200707,320,8324,361,6024,9280,1
359,20220117080042900,PP22041200707,320,8324,361,6024,9299,1
360,20220117080043200,PP22041200707,320,8299,362,5948,9300,1
361,20220117080043200,PP22041200707,320,8299,362,5948,9321,1
362,20220117080043400,PP22041200707,308,7934,361,6024,9327,1
363,20220117080043400,PP22041200707,308,7934,361,6024,9270,1
364,20220117080043800,PP22041200707,320,8314,360,6003,9270,1
365,20220117080043800,PP22041200707,320,8314,360,6003,9270,1
366,20220117080043900,PP22041200707,320,8329,363,5948,9270,1
367,20220117080043900,PP22041200707,320,8329,363,5948,9270,1
368,20220117080044200,PP22041200707,309,7934,362,5977,9270,1
369,20220117080044200,PP22041200707,309,7934,362,5977,9275,1
370,20220117080044300,PP22041200707,321,8265,360,6066,9285,1
371,20220117080044300,PP22041200707,321,8265,360,6066,9288,1
372,20220117080044600,PP22041200707,320,8317,359,5982,9289,1
373,20220117080044600,PP22041200707,320,8317,359,5982,9288,1
374,20220117080044900,PP22041200707,308,7942,357,6119,9290,1
375,20220117080044900,PP22041200707,308,7942,357,6119,9300,1
376,20220117080045100,PP22041200707,320,8321,357,6117,9301,1
377,20220117080045100,PP22041200707,320,8321,357,6117,9300,1
378,20220117080045300,PP22041200707,320,8280,360,5981,9303,1
379,20220117080045300,PP22041200707,320,8280,360,5981,9317,1
380,20220117080045500,PP22041200707,321,8276,361,5998,9319,1
381,20220117080045500,PP22041200707,321,8276,361,5998,9320,1
382,20220117080045800,PP22041200707,319,8313,362,5948,9324,1
383,20220117080045800,PP22041200707,319,8313,362,5948,9333,1
384,20220117080046000,PP22041200707,320,8333,361,5957,9335,1
385,20220117080046000,PP22041200707,320,8333,361,5957,9330,1
386,20220117080046400,PP22041200707,320,8327,361,5980,9327,1
387,20220117080046400,PP22041200707,320,8327,361,5980,9328,1
388,20220117080046600,PP22041200707,320,8298,360,6043,9329,1
389,20220117080046600,PP22041200707,320,8298,360,6043,9319,1
390,20220117080046800,PP22041200707,320,8344,361,5966,9310,1
391,20220117080046800,PP22041200707,320,8344,361,5966,9308,1
392,20220117080046900,PP22041200707,320,8318,360,6042,9305,1
393,20220117080046900,PP22041200707,320,8318,360,6042,9300,1
394,20220117080047200,PP22041200707,319,8318,358,6032,9295,1
395,20220117080047200,PP22041200707,319,8318,358,6032,9296,1
396,20220117080047300,PP22041200707,308,7934,359,6039,9290,1
397,20220117080047300,PP22041200707,308,7934,359,6039,9285,1
398,20220117080047600,PP22041200707,320,8291,360,6024,9286,1
399,20220117080047600,PP22041200707,320,8291,360,6024,9279,1
400,20220117080047900,PP22041200707,320,8303,361,6047,9276,1
401,20220117080047900,PP22041200707,320,8303,361,6047,9275,1
402,20220117080048000,PP22041200707,320,8339,360,6013,9270,1
403,20220117080048000,PP22041200707,320,8339,360,6013,9270,1
404,20220117080048300,PP22041200707,321,8277,361,6022,9271,1
405,20220117080048300,PP22041200707,321,8277,361,6022,9276,1
406,20220117080048600,PP22041200707,319,8328,360,6024,9280,1
407,20220117080048600,PP22041200707,319,8328,360,6024,9299,1
408,20220117080048700,PP22041200707,320,8300,357,6034,9300,1
409,20220117080048700,PP22041200707,320,8300,357,6034,9321,1
410,20220117080049000,PP22041200707,319,8331,364,5948,9327,1
411,20220117080049000,PP22041200707,319,8331,364,5948,9270,1
412,20220117080049200,PP22041200707,308,7945,358,6105,9270,1
413,20220117080049200,PP22041200707,308,7945,358,6105,9270,1
414,20220117080049600,PP22041200707,309,7934,358,6055,9270,1
415,20220117080049600,PP22041200707,309,7934,358,6055,9270,1
416,20220117080049800,PP22041200707,320,8331,359,6017,9270,1
417,20220117080049800,PP22041200707,320,8331,359,6017,9270,1
418,20220117080050200,PP22041200707,321,8307,362,5982,9270,1
419,20220117080050200,PP22041200707,321,8307,362,5982,9270,1
420,20220117080050500,PP22041200707,321,8271,358,6059,9270,1
421,20220117080050500,PP22041200707,321,8271,358,6059,9270,1
422,20220117080050700,PP22041200707,320,8335,363,6028,9270,1
423,20220117080050700,PP22041200707,320,8335,363,6028,9270,1
424,20220117080050900,PP22041200707,321,8287,363,5948,9270,1
425,20220117080050900,PP22041200707,321,8287,363,5948,9270,1
426,20220117080051000,PP22041200707,320,8346,359,6077,9270,1
427,20220117080051000,PP22041200707,320,8346,359,6077,9270,1
428,20220117080051300,PP22041200707,308,7934,365,5948,9270,1
429,20220117080051300,PP22041200707,308,7934,365,5948,9270,1
430,20220117080051500,PP22041200707,308,7934,360,6035,9270,1
431,20220117080051500,PP22041200707,308,7934,360,6035,9275,1
432,20220117080051700,PP22041200707,309,7934,360,6023,9285,1
433,20220117080051700,PP22041200707,309,7934,360,6023,9288,1
434,20220117080052000,PP22041200707,320,8308,364,5956,9289,1
435,20220117080052000,PP22041200707,320,8308,364,5956,9288,1
436,20220117080052200,PP22041200707,320,8330,362,5960,9290,1
437,20220117080052200,PP22041200707,320,8330,362,5960,9300,1
438,20220117080052500,PP22041200707,320,8326,359,6122,9301,1
439,20220117080052500,PP22041200707,320,8326,359,6122,9300,1
440,20220117080052700,PP22041200707,321,8295,360,6072,9303,1
441,20220117080052700,PP22041200707,321,8295,360,6072,9317,1
442,20220117080053000,PP22041200707,319,8327,357,6057,9319,1
443,20220117080053000,PP22041200707,319,8327,357,6057,9320,1
444,20220117080053100,PP22041200707,320,8309,359,6036,9324,1
